scheme_code,scheme_title,source_name,source_url,source_dataset_id,ministry,state,verification_status
PM-MUDRA,Pradhan Mantri MUDRA Yojana (PMMY),Open Government Data Platform India / MUDRA,https://www.mudra.org.in,OGD-INDIA-MOF-022,Ministry of Finance,All India,VERIFIED_OFFICIAL
APY,Atal Pension Yojana (APY),Open Government Data Platform India / PFRDA,https://www.pfrda.org.in,OGD-INDIA-PFRDA-023,Ministry of Finance / PFRDA,All India,VERIFIED_OFFICIAL
PM-UJJWALA,PM Ujjwala Yojana 2.0 (Free LPG Connection),Open Government Data Platform India / MoPNG,https://www.pmuy.gov.in,OGD-INDIA-MOPNG-024,Ministry of Petroleum and Natural Gas,All India,VERIFIED_OFFICIAL
PMMSY,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Open Government Data Platform India / Fisheries,https://pmmsy.dof.gov.in,OGD-INDIA-DOF-025,"Ministry of Fisheries, Animal Husbandry and Dairying",All India,VERIFIED_OFFICIAL
SAMAGRA-SHIKSHA,Samagra Shiksha Abhiyan,Open Government Data Platform India / MoE,https://samagra.education.gov.in,OGD-INDIA-MOE-026,Ministry of Education,All India,VERIFIED_OFFICIAL
PM-POSHAN,PM POSHAN Mid-Day Meal Scheme,Open Government Data Platform India / MoE,https://pmposhan.education.gov.in,OGD-INDIA-MOE-027,Ministry of Education,All India,VERIFIED_OFFICIAL
JAL-JEEVAN,Jal Jeevan Mission (Har Ghar Jal),Open Government Data Platform India / Jal Shakti,https://ejalshakti.gov.in,OGD-INDIA-JAL-028,Ministry of Jal Shakti,All India,VERIFIED_OFFICIAL
JAN-AUSHADHI,Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),Open Government Data Platform India / PMBI,https://janaushadhi.gov.in,OGD-INDIA-PMBI-029,Ministry of Chemicals and Fertilizers / PMBI,All India,VERIFIED_OFFICIAL
KMT,Kalaignar Magalir Urimai Thogai Scheme,Tamil Nadu Open Data Portal / TN Govt,https://kmt.tn.gov.in,TN-GOV-KMT-2026,Government of Tamil Nadu - Special Programme Implementation,Tamil Nadu,VERIFIED_OFFICIAL
PUDHUMAI-PENN,Pudhumai Penn Scheme (Moovalur Ramamirtham Ammiyar Higher Education),Tamil Nadu Open Data Portal / Higher Edu,https://penkalvi.tn.gov.in,TN-GOV-PENKALVI-2026,Government of Tamil Nadu - Social Welfare & Higher Education,Tamil Nadu,VERIFIED_OFFICIAL
TAMIL-PUDHALVAN,Tamil Pudhalvan Scheme,Tamil Nadu Open Data Portal / Higher Edu,https://tn.gov.in,TN-GOV-PUDHALVAN-2026,Government of Tamil Nadu - Social Welfare & Higher Education,Tamil Nadu,VERIFIED_OFFICIAL
CMCHIS,Chief Minister's Comprehensive Health Insurance Scheme (CMCHIS),Tamil Nadu Open Data Portal / Health Dept,https://cmchis.tn.gov.in,TN-GOV-CMCHIS-2026,Government of Tamil Nadu - Health and Family Welfare,Tamil Nadu,VERIFIED_OFFICIAL
CM-BREAKFAST,Chief Minister's Breakfast Scheme,Tamil Nadu Open Data Portal / School Edu,https://tn.gov.in,TN-GOV-BREAKFAST-2026,Government of Tamil Nadu - Social Welfare,Tamil Nadu,VERIFIED_OFFICIAL
NAAN-MUDHALVAN,Naan Mudhalvan Skill Development Scheme,Tamil Nadu Open Data Portal / TNSDC,https://www.naanmudhalvan.tn.gov.in,TN-GOV-TNSDC-2026,Government of Tamil Nadu - Skill Development Corporation (TNSDC),Tamil Nadu,VERIFIED_OFFICIAL
MAKKALAI-THEDI,Makkalai Thedi Maruthuvam (Healthcare at Doorsteps),Tamil Nadu Open Data Portal / Health Dept,https://tn.gov.in,TN-GOV-MAKKALAI-2026,Government of Tamil Nadu - Health and Family Welfare,Tamil Nadu,VERIFIED_OFFICIAL
INNUYIR-KAPPON,Innuyir Kappon - Nammai Kakkum 48 Emergency Care,Tamil Nadu Open Data Portal / Health Dept,https://cmchis.tn.gov.in,TN-GOV-INNUYIR-2026,Government of Tamil Nadu - Health and Family Welfare,Tamil Nadu,VERIFIED_OFFICIAL
MUTHULAKSHMI-REDDY,Dr. Muthulakshmi Reddy Maternity Benefit Scheme,Tamil Nadu Open Data Portal / Health Dept,https://picme.tn.gov.in,TN-GOV-PICME-2026,Government of Tamil Nadu - Health and Family Welfare,Tamil Nadu,VERIFIED_OFFICIAL
TN-GREEN-HOUSE,Chief Minister's Solar Powered Green House Scheme (CMSPGHS),Tamil Nadu Open Data Portal / TNRD,https://tnrd.tn.gov.in,TN-GOV-TNRD-2026,Government of Tamil Nadu - Rural Development & Panchayat Raj,Tamil Nadu,VERIFIED_OFFICIAL
TN-UZHAVAR-PADHUKAPPU,Chief Minister's Farmers Security Scheme (Uzhavar Padhukappu Thittam),Tamil Nadu Open Data Portal / Revenue Dept,https://tn.gov.in,TN-GOV-UZHAVAR-2026,Government of Tamil Nadu - Revenue & Disaster Management,Tamil Nadu,VERIFIED_OFFICIAL
TN-DISABLED-PENSION,TN Differently Abled Maintenance Allowance Scheme,Tamil Nadu Open Data Portal / Differently Abled Dept,https://www.scd.tn.gov.in,TN-GOV-SCD-2026,Government of Tamil Nadu - Welfare of Differently Abled Persons,Tamil Nadu,VERIFIED_OFFICIAL
UYEGP,TN Unemployed Youth Employment Generation Programme (UYEGP),Tamil Nadu Open Data Portal / MSME Dept,https://msmeonline.tn.gov.in,TN-GOV-MSME-2026,"Government of Tamil Nadu - Micro, Small and Medium Enterprises (MSME)",Tamil Nadu,VERIFIED_OFFICIAL
NEEDS,TN New Entrepreneur-cum-Enterprise Development Scheme (NEEDS),Tamil Nadu Open Data Portal / MSME Dept,https://msmeonline.tn.gov.in,TN-GOV-NEEDS-2026,Government of Tamil Nadu - MSME Department,Tamil Nadu,VERIFIED_OFFICIAL
AABCS,TN Annal Ambedkar Business Champions Scheme (AABCS),Tamil Nadu Open Data Portal / MSME Dept,https://msmeonline.tn.gov.in,TN-GOV-AABCS-2026,Government of Tamil Nadu - MSME Department,Tamil Nadu,VERIFIED_OFFICIAL
MOOVALUR-MARRIAGE,Moovalur Ramamirtham Ammiyar Marriage Assistance Scheme,Tamil Nadu Open Data Portal / Social Welfare,https://tnsocialwelfare.tn.gov.in,TN-GOV-SW-041,Government of Tamil Nadu - Social Welfare and Women Empowerment,Tamil Nadu,VERIFIED_OFFICIAL
DHARMAMBAL-REMARRIAGE,Dr. Dharmambal Ammaiyar Widow Remarriage Scheme,Tamil Nadu Open Data Portal / Social Welfare,https://tnsocialwelfare.tn.gov.in,TN-GOV-SW-042,Government of Tamil Nadu - Social Welfare,Tamil Nadu,VERIFIED_OFFICIAL
LADLI-BEHNA,Mukhyamantri Ladli Behna Yojana (Madhya Pradesh),Open Government Data MP Portal,https://cmladlibehna.mp.gov.in,MP-GOV-LADLI-2026,Government of Madhya Pradesh - Women and Child Development,Madhya Pradesh,VERIFIED_OFFICIAL
GRUHA-LAKSHMI-KA,Gruha Lakshmi Scheme (Karnataka),Karnataka Open Data Portal,https://sevasindhugs.karnataka.gov.in,KA-GOV-GRUHA-2026,Government of Karnataka - Women and Child Development,Karnataka,VERIFIED_OFFICIAL
YUVA-NIDHI-KA,Yuva Nidhi Unemployment Allowance Scheme (Karnataka),Karnataka Open Data Portal,https://sevasindhugs.karnataka.gov.in,KA-GOV-YUVANIDHI-2026,Government of Karnataka - Skill Development Corporation,Karnataka,VERIFIED_OFFICIAL
KANYASHREE-WB,Kanyashree Prakalpa (West Bengal),West Bengal Open Data Portal,https://wbkanyashree.gov.in,WB-GOV-KANYASHREE-2026,Government of West Bengal - Women & Child Development,West Bengal,VERIFIED_OFFICIAL
LAKSHMIR-BHANDAR,Lakshmir Bhandar Scheme (West Bengal),West Bengal Open Data Portal,https://socialsecurity.wb.gov.in,WB-GOV-LAKSHMI-2026,Government of West Bengal - Women and Child Development,West Bengal,VERIFIED_OFFICIAL
SUBHADRA-ODISHA,Subhadra Yojana (Odisha),Odisha Open Data Portal,https://subhadra.odisha.gov.in,OD-GOV-SUBHADRA-2026,Government of Odisha - Women and Child Development,Odisha,VERIFIED_OFFICIAL
KALIA-ODISHA,KALIA Scheme for Farmers (Odisha),Odisha Open Data Portal,https://kalia.odisha.gov.in,OD-GOV-KALIA-2026,Government of Odisha - Agriculture & Farmers Empowerment,Odisha,VERIFIED_OFFICIAL
KANYA-SUMANGALA-UP,Mukhya Mantri Kanya Sumangala Yojana (Uttar Pradesh),Uttar Pradesh Open Data Portal,https://mksy.up.gov.in,UP-GOV-MKSY-2026,Government of Uttar Pradesh - Women and Child Development,Uttar Pradesh,VERIFIED_OFFICIAL
STUDENT-CREDIT-BIHAR,Bihar Student Credit Card Scheme (MNSSBY),Bihar Open Data Portal,https://www.7nishchay-yuvaupmission.bihar.gov.in,BH-GOV-SCC-2026,Government of Bihar - Education Department,Bihar,VERIFIED_OFFICIAL
MYSY-GUJARAT,Mukhyamantri Yuva Swavalamban Yojana (MYSY Gujarat),Gujarat Open Data Portal,https://mysy.guj.nic.in,GJ-GOV-MYSY-2026,Government of Gujarat - Education Department,Gujarat,VERIFIED_OFFICIAL
PM-JANMAN,PM Janjati Adivasi Nyaya Maha Abhiyan (PM-JANMAN),Open Government Data Platform India / MoTA,https://tribal.gov.in,OGD-INDIA-MOTA-056,Ministry of Tribal Affairs,All India,VERIFIED_OFFICIAL
NAPS,National Apprenticeship Promotion Scheme (NAPS),Open Government Data Platform India / MSDE,https://www.apprenticeshipindia.gov.in,OGD-INDIA-MSDE-057,Ministry of Skill Development and Entrepreneurship,All India,VERIFIED_OFFICIAL
CGTMSE,Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),Open Government Data Platform India / SIDBI,https://www.cgtmse.in,OGD-INDIA-SIDBI-058,"Ministry of Micro, Small and Medium Enterprises / SIDBI",All India,VERIFIED_OFFICIAL
PM-DIALYSIS,Pradhan Mantri National Dialysis Programme (PMNDP),Open Government Data Platform India / MoHFW,https://nhm.gov.in,OGD-INDIA-MOHFW-059,Ministry of Health and Family Welfare,All India,VERIFIED_OFFICIAL
DAY-NRLM,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM),Open Government Data Platform India / MoRD,https://nrlm.gov.in,OGD-INDIA-NRLM-060,Ministry of Rural Development,All India,VERIFIED_OFFICIAL
SVAMITVA,PM SVAMITVA Scheme (Property Cards for Rural Abadi),Open Government Data Platform India / Panchayati Raj,https://svamitva.nic.in,OGD-INDIA-MOPR-061,Ministry of Panchayati Raj,All India,VERIFIED_OFFICIAL
PRAGATI-SCHOLARSHIP,AICTE Pragati Scholarship Scheme for Girl Students,Open Government Data Platform India / AICTE,https://scholarships.gov.in,OGD-INDIA-AICTE-062,Ministry of Education / AICTE,All India,VERIFIED_OFFICIAL
SAKSHAM-SCHOLARSHIP,AICTE Saksham Scholarship Scheme for Differently Abled Students,Open Government Data Platform India / AICTE,https://scholarships.gov.in,OGD-INDIA-AICTE-063,Ministry of Education / AICTE,All India,VERIFIED_OFFICIAL
TN-GIRL-CHILD-PROTECTION,Chief Minister's Girl Child Protection Scheme (Tamil Nadu),Tamil Nadu Open Data Portal / Social Welfare,https://tnsocialwelfare.tn.gov.in,TN-GOV-SW-064,Government of Tamil Nadu - Social Welfare & Women Empowerment,Tamil Nadu,VERIFIED_OFFICIAL
TN-TRANSGENDER-BOARD,TN Transgender Welfare Board Assistance Scheme,Tamil Nadu Open Data Portal / Social Welfare,https://tnsocialwelfare.tn.gov.in,TN-GOV-TG-065,Government of Tamil Nadu - Social Welfare and Women Empowerment,Tamil Nadu,VERIFIED_OFFICIAL
TN-SEWING-MACHINE,TN Free Supply of Sewing Machines Scheme for Destitute Women,Tamil Nadu Open Data Portal / Social Welfare,https://tnsocialwelfare.tn.gov.in,TN-GOV-SW-066,Government of Tamil Nadu - Social Welfare and Women Empowerment,Tamil Nadu,VERIFIED_OFFICIAL
TN-FREE-AGRI-POWER,TN Free Electricity Scheme for Agriculture (24x7 Power),Tamil Nadu Open Data Portal / TANGEDCO,https://www.tangedco.gov.in,TN-GOV-TANGEDCO-067,Government of Tamil Nadu - Energy / TANGEDCO,Tamil Nadu,VERIFIED_OFFICIAL
ANNA-BHAGYA-KA,Anna Bhagya Scheme (Karnataka),Karnataka Open Data Portal,https://food.karnataka.gov.in,KA-GOV-FOOD-068,Government of Karnataka - Food & Civil Supplies,Karnataka,VERIFIED_OFFICIAL
SHAKTHI-FREE-BUS-KA,Shakthi Free Bus Travel Scheme for Women (Karnataka),Karnataka Open Data Portal,https://ksrtc.karnataka.gov.in,KA-GOV-SHAKTHI-069,Government of Karnataka - Transport Department,Karnataka,VERIFIED_OFFICIAL
RYTHU-BHAROSA-TS,Rythu Bharosa Agriculture Support (Telangana),Telangana Open Data Portal,https://rythubharosa.telangana.gov.in,TS-GOV-RYTHU-070,Government of Telangana - Agriculture Department,Telangana,VERIFIED_OFFICIAL
