scheme_code,scheme_name,state_name,source_name,source_dataset_url,source_dataset_id,source_scheme_id,official_url,verification_method,verification_date,data_status,provenance_confidence
MGNREGA,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),All India,Ministry of Rural Development (https://nrega.nic.in),NULL,NULL,MGNREGA,https://nrega.nic.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
NMMSS,National Means-cum-Merit Scholarship Scheme (NMMSS),All India,Ministry of Education (https://scholarships.gov.in),NULL,NULL,NMMSS,https://scholarships.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
NSP-PMS-SC,Post Matric Scholarship for Scheduled Caste Students (NSP-PMS-SC),All India,Ministry of Social Justice and Empowerment (https://scholarships.gov.in),NULL,NULL,NSP-PMS-SC,https://scholarships.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PM-KUSUM,PM KUSUM Solar Pump Scheme,All India,Ministry of New and Renewable Energy (https://pmkusum.mnre.gov.in),NULL,NULL,PM-KUSUM,https://pmkusum.mnre.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PM-MUDRA,Pradhan Mantri MUDRA Yojana (PMMY),All India,Ministry of Finance (https://www.mudra.org.in),NULL,NULL,PM-MUDRA,https://www.mudra.org.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
APY,Atal Pension Yojana (APY),All India,Ministry of Finance / PFRDA (https://www.pfrda.org.in),NULL,NULL,APY,https://www.pfrda.org.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PM-UJJWALA,PM Ujjwala Yojana 2.0 (Free LPG Connection),All India,Ministry of Petroleum and Natural Gas (https://www.pmuy.gov.in),NULL,NULL,PM-UJJWALA,https://www.pmuy.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PMMSY,Pradhan Mantri Matsya Sampada Yojana (PMMSY),All India,"Ministry of Fisheries, Animal Husbandry and Dairying (https://pmmsy.dof.gov.in)",NULL,NULL,PMMSY,https://pmmsy.dof.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
SAMAGRA-SHIKSHA,Samagra Shiksha Abhiyan,All India,Ministry of Education (https://samagra.education.gov.in),NULL,NULL,SAMAGRA-SHIKSHA,https://samagra.education.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PM-POSHAN,PM POSHAN Mid-Day Meal Scheme,All India,Ministry of Education (https://pmposhan.education.gov.in),NULL,NULL,PM-POSHAN,https://pmposhan.education.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
JAL-JEEVAN,Jal Jeevan Mission (Har Ghar Jal),All India,Ministry of Jal Shakti (https://ejalshakti.gov.in),NULL,NULL,JAL-JEEVAN,https://ejalshakti.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
JAN-AUSHADHI,Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),All India,Ministry of Chemicals and Fertilizers / PMBI (https://janaushadhi.gov.in),NULL,NULL,JAN-AUSHADHI,https://janaushadhi.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
KMT,Kalaignar Magalir Urimai Thogai Scheme,Tamil Nadu,Government of Tamil Nadu - Special Programme Implementation (https://kmt.tn.gov.in),NULL,NULL,KMT,https://kmt.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PUDHUMAI-PENN,Pudhumai Penn Scheme (Moovalur Ramamirtham Ammiyar Higher Education),Tamil Nadu,Government of Tamil Nadu - Social Welfare & Higher Education (https://penkalvi.tn.gov.in),NULL,NULL,PUDHUMAI-PENN,https://penkalvi.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
TAMIL-PUDHALVAN,Tamil Pudhalvan Scheme,Tamil Nadu,Government of Tamil Nadu - Social Welfare & Higher Education (https://tn.gov.in),NULL,NULL,TAMIL-PUDHALVAN,https://tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
CMCHIS,Chief Minister's Comprehensive Health Insurance Scheme (CMCHIS),Tamil Nadu,Government of Tamil Nadu - Health and Family Welfare (https://cmchis.tn.gov.in),NULL,NULL,CMCHIS,https://cmchis.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
CM-BREAKFAST,Chief Minister's Breakfast Scheme,Tamil Nadu,Government of Tamil Nadu - Social Welfare (https://tn.gov.in),NULL,NULL,CM-BREAKFAST,https://tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
NAAN-MUDHALVAN,Naan Mudhalvan Skill Development Scheme,Tamil Nadu,Government of Tamil Nadu - Skill Development Corporation (TNSDC) (https://www.naanmudhalvan.tn.gov.in),NULL,NULL,NAAN-MUDHALVAN,https://www.naanmudhalvan.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
MAKKALAI-THEDI,Makkalai Thedi Maruthuvam (Healthcare at Doorsteps),Tamil Nadu,Government of Tamil Nadu - Health and Family Welfare (https://tn.gov.in),NULL,NULL,MAKKALAI-THEDI,https://tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
INNUYIR-KAPPON,Innuyir Kappon - Nammai Kakkum 48 Emergency Care,Tamil Nadu,Government of Tamil Nadu - Health and Family Welfare (https://cmchis.tn.gov.in),NULL,NULL,INNUYIR-KAPPON,https://cmchis.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
MUTHULAKSHMI-REDDY,Dr. Muthulakshmi Reddy Maternity Benefit Scheme,Tamil Nadu,Government of Tamil Nadu - Health and Family Welfare (https://picme.tn.gov.in),NULL,NULL,MUTHULAKSHMI-REDDY,https://picme.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
TN-GREEN-HOUSE,Chief Minister's Solar Powered Green House Scheme (CMSPGHS),Tamil Nadu,Government of Tamil Nadu - Rural Development & Panchayat Raj (https://tnrd.tn.gov.in),NULL,NULL,TN-GREEN-HOUSE,https://tnrd.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
TN-UZHAVAR-PADHUKAPPU,Chief Minister's Farmers Security Scheme (Uzhavar Padhukappu Thittam),Tamil Nadu,Government of Tamil Nadu - Revenue & Disaster Management (https://tn.gov.in),NULL,NULL,TN-UZHAVAR-PADHUKAPPU,https://tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
TN-DISABLED-PENSION,TN Differently Abled Maintenance Allowance Scheme,Tamil Nadu,Government of Tamil Nadu - Welfare of Differently Abled Persons (https://www.scd.tn.gov.in),NULL,NULL,TN-DISABLED-PENSION,https://www.scd.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
UYEGP,TN Unemployed Youth Employment Generation Programme (UYEGP),Tamil Nadu,"Government of Tamil Nadu - Micro, Small and Medium Enterprises (MSME) (https://msmeonline.tn.gov.in)",NULL,NULL,UYEGP,https://msmeonline.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
NEEDS,TN New Entrepreneur-cum-Enterprise Development Scheme (NEEDS),Tamil Nadu,Government of Tamil Nadu - MSME Department (https://msmeonline.tn.gov.in),NULL,NULL,NEEDS,https://msmeonline.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
AABCS,TN Annal Ambedkar Business Champions Scheme (AABCS),Tamil Nadu,Government of Tamil Nadu - MSME Department (https://msmeonline.tn.gov.in),NULL,NULL,AABCS,https://msmeonline.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
MOOVALUR-MARRIAGE,Moovalur Ramamirtham Ammiyar Marriage Assistance Scheme,Tamil Nadu,Government of Tamil Nadu - Social Welfare and Women Empowerment (https://tnsocialwelfare.tn.gov.in),NULL,NULL,MOOVALUR-MARRIAGE,https://tnsocialwelfare.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
DHARMAMBAL-REMARRIAGE,Dr. Dharmambal Ammaiyar Widow Remarriage Scheme,Tamil Nadu,Government of Tamil Nadu - Social Welfare (https://tnsocialwelfare.tn.gov.in),NULL,NULL,DHARMAMBAL-REMARRIAGE,https://tnsocialwelfare.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
LADLI-BEHNA,Mukhyamantri Ladli Behna Yojana (Madhya Pradesh),Madhya Pradesh,Government of Madhya Pradesh - Women and Child Development (https://cmladlibehna.mp.gov.in),NULL,NULL,LADLI-BEHNA,https://cmladlibehna.mp.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
GRUHA-LAKSHMI-KA,Gruha Lakshmi Scheme (Karnataka),Karnataka,Government of Karnataka - Women and Child Development (https://sevasindhugs.karnataka.gov.in),NULL,NULL,GRUHA-LAKSHMI-KA,https://sevasindhugs.karnataka.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
YUVA-NIDHI-KA,Yuva Nidhi Unemployment Allowance Scheme (Karnataka),Karnataka,Government of Karnataka - Skill Development Corporation (https://sevasindhugs.karnataka.gov.in),NULL,NULL,YUVA-NIDHI-KA,https://sevasindhugs.karnataka.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
KANYASHREE-WB,Kanyashree Prakalpa (West Bengal),West Bengal,Government of West Bengal - Women & Child Development (https://wbkanyashree.gov.in),NULL,NULL,KANYASHREE-WB,https://wbkanyashree.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
LAKSHMIR-BHANDAR,Lakshmir Bhandar Scheme (West Bengal),West Bengal,Government of West Bengal - Women and Child Development (https://socialsecurity.wb.gov.in),NULL,NULL,LAKSHMIR-BHANDAR,https://socialsecurity.wb.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
SUBHADRA-ODISHA,Subhadra Yojana (Odisha),Odisha,Government of Odisha - Women and Child Development (https://subhadra.odisha.gov.in),NULL,NULL,SUBHADRA-ODISHA,https://subhadra.odisha.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
KALIA-ODISHA,KALIA Scheme for Farmers (Odisha),Odisha,Government of Odisha - Agriculture & Farmers Empowerment (https://kalia.odisha.gov.in),NULL,NULL,KALIA-ODISHA,https://kalia.odisha.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
KANYA-SUMANGALA-UP,Mukhya Mantri Kanya Sumangala Yojana (Uttar Pradesh),Uttar Pradesh,Government of Uttar Pradesh - Women and Child Development (https://mksy.up.gov.in),NULL,NULL,KANYA-SUMANGALA-UP,https://mksy.up.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
STUDENT-CREDIT-BIHAR,Bihar Student Credit Card Scheme (MNSSBY),Bihar,Government of Bihar - Education Department (https://www.7nishchay-yuvaupmission.bihar.gov.in),NULL,NULL,STUDENT-CREDIT-BIHAR,https://www.7nishchay-yuvaupmission.bihar.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
MYSY-GUJARAT,Mukhyamantri Yuva Swavalamban Yojana (MYSY Gujarat),Gujarat,Government of Gujarat - Education Department (https://mysy.guj.nic.in),NULL,NULL,MYSY-GUJARAT,https://mysy.guj.nic.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PM-JANMAN,PM Janjati Adivasi Nyaya Maha Abhiyan (PM-JANMAN),All India,Ministry of Tribal Affairs (https://tribal.gov.in),NULL,NULL,PM-JANMAN,https://tribal.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
NAPS,National Apprenticeship Promotion Scheme (NAPS),All India,Ministry of Skill Development and Entrepreneurship (https://www.apprenticeshipindia.gov.in),NULL,NULL,NAPS,https://www.apprenticeshipindia.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
CGTMSE,Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),All India,"Ministry of Micro, Small and Medium Enterprises / SIDBI (https://www.cgtmse.in)",NULL,NULL,CGTMSE,https://www.cgtmse.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PM-DIALYSIS,Pradhan Mantri National Dialysis Programme (PMNDP),All India,Ministry of Health and Family Welfare (https://nhm.gov.in),NULL,NULL,PM-DIALYSIS,https://nhm.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
DAY-NRLM,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM),All India,Ministry of Rural Development (https://nrlm.gov.in),NULL,NULL,DAY-NRLM,https://nrlm.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
SVAMITVA,PM SVAMITVA Scheme (Property Cards for Rural Abadi),All India,Ministry of Panchayati Raj (https://svamitva.nic.in),NULL,NULL,SVAMITVA,https://svamitva.nic.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PRAGATI-SCHOLARSHIP,AICTE Pragati Scholarship Scheme for Girl Students,All India,Ministry of Education / AICTE (https://scholarships.gov.in),NULL,NULL,PRAGATI-SCHOLARSHIP,https://scholarships.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
SAKSHAM-SCHOLARSHIP,AICTE Saksham Scholarship Scheme for Differently Abled Students,All India,Ministry of Education / AICTE (https://scholarships.gov.in),NULL,NULL,SAKSHAM-SCHOLARSHIP,https://scholarships.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
TN-GIRL-CHILD-PROTECTION,Chief Minister's Girl Child Protection Scheme (Tamil Nadu),Tamil Nadu,Government of Tamil Nadu - Social Welfare & Women Empowerment (https://tnsocialwelfare.tn.gov.in),NULL,NULL,TN-GIRL-CHILD-PROTECTION,https://tnsocialwelfare.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
TN-TRANSGENDER-BOARD,TN Transgender Welfare Board Assistance Scheme,Tamil Nadu,Government of Tamil Nadu - Social Welfare and Women Empowerment (https://tnsocialwelfare.tn.gov.in),NULL,NULL,TN-TRANSGENDER-BOARD,https://tnsocialwelfare.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
TN-SEWING-MACHINE,TN Free Supply of Sewing Machines Scheme for Destitute Women,Tamil Nadu,Government of Tamil Nadu - Social Welfare and Women Empowerment (https://tnsocialwelfare.tn.gov.in),NULL,NULL,TN-SEWING-MACHINE,https://tnsocialwelfare.tn.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
TN-FREE-AGRI-POWER,TN Free Electricity Scheme for Agriculture (24x7 Power),Tamil Nadu,Government of Tamil Nadu - Energy / TANGEDCO (https://www.tangedco.gov.in),NULL,NULL,TN-FREE-AGRI-POWER,https://www.tangedco.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
ANNA-BHAGYA-KA,Anna Bhagya Scheme (Karnataka),Karnataka,Government of Karnataka - Food & Civil Supplies (https://food.karnataka.gov.in),NULL,NULL,ANNA-BHAGYA-KA,https://food.karnataka.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
SHAKTHI-FREE-BUS-KA,Shakthi Free Bus Travel Scheme for Women (Karnataka),Karnataka,Government of Karnataka - Transport Department (https://ksrtc.karnataka.gov.in),NULL,NULL,SHAKTHI-FREE-BUS-KA,https://ksrtc.karnataka.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
RYTHU-BHAROSA-TS,Rythu Bharosa Agriculture Support (Telangana),Telangana,Government of Telangana - Agriculture Department (https://rythubharosa.telangana.gov.in),NULL,NULL,RYTHU-BHAROSA-TS,https://rythubharosa.telangana.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
