scheme_code,scheme_name,official_authority,official_url,evidence_url,evidence_title,evidence_type,verification_date,verification_notes
PM-KUSUM,PM KUSUM Solar Pump Scheme,Ministry of New and Renewable Energy,https://pmkusum.mnre.gov.in,https://pmkusum.mnre.gov.in,PM KUSUM Solar Pump Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://pmkusum.mnre.gov.in. Published by Ministry of New and Renewable Energy.
PM-MUDRA,Pradhan Mantri MUDRA Yojana (PMMY),Ministry of Finance,https://www.mudra.org.in,https://www.mudra.org.in,Pradhan Mantri MUDRA Yojana (PMMY) - Official Government Portal / Guidelines,OFFICIAL_GOVT_WEBSITE,2026-09-20,Verified directly against official domain https://www.mudra.org.in. Published by Ministry of Finance.
APY,Atal Pension Yojana (APY),Ministry of Finance / PFRDA,https://www.pfrda.org.in,https://www.pfrda.org.in,Atal Pension Yojana (APY) - Official Government Portal / Guidelines,OFFICIAL_GOVT_WEBSITE,2026-09-20,Verified directly against official domain https://www.pfrda.org.in. Published by Ministry of Finance / PFRDA.
PM-UJJWALA,PM Ujjwala Yojana 2.0 (Free LPG Connection),Ministry of Petroleum and Natural Gas,https://www.pmuy.gov.in,https://www.pmuy.gov.in,PM Ujjwala Yojana 2.0 (Free LPG Connection) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://www.pmuy.gov.in. Published by Ministry of Petroleum and Natural Gas.
PMMSY,Pradhan Mantri Matsya Sampada Yojana (PMMSY),"Ministry of Fisheries, Animal Husbandry and Dairying",https://pmmsy.dof.gov.in,https://pmmsy.dof.gov.in,Pradhan Mantri Matsya Sampada Yojana (PMMSY) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,"Verified directly against official domain https://pmmsy.dof.gov.in. Published by Ministry of Fisheries, Animal Husbandry and Dairying."
SAMAGRA-SHIKSHA,Samagra Shiksha Abhiyan,Ministry of Education,https://samagra.education.gov.in,https://samagra.education.gov.in,Samagra Shiksha Abhiyan - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://samagra.education.gov.in. Published by Ministry of Education.
PM-POSHAN,PM POSHAN Mid-Day Meal Scheme,Ministry of Education,https://pmposhan.education.gov.in,https://pmposhan.education.gov.in,PM POSHAN Mid-Day Meal Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://pmposhan.education.gov.in. Published by Ministry of Education.
JAL-JEEVAN,Jal Jeevan Mission (Har Ghar Jal),Ministry of Jal Shakti,https://ejalshakti.gov.in,https://ejalshakti.gov.in,Jal Jeevan Mission (Har Ghar Jal) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://ejalshakti.gov.in. Published by Ministry of Jal Shakti.
JAN-AUSHADHI,Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),Ministry of Chemicals and Fertilizers / PMBI,https://janaushadhi.gov.in,https://janaushadhi.gov.in,Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://janaushadhi.gov.in. Published by Ministry of Chemicals and Fertilizers / PMBI.
KMT,Kalaignar Magalir Urimai Thogai Scheme,Government of Tamil Nadu - Special Programme Implementation,https://kmt.tn.gov.in,https://kmt.tn.gov.in,Kalaignar Magalir Urimai Thogai Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://kmt.tn.gov.in. Published by Government of Tamil Nadu - Special Programme Implementation.
PUDHUMAI-PENN,Pudhumai Penn Scheme (Moovalur Ramamirtham Ammiyar Higher Education),Government of Tamil Nadu - Social Welfare & Higher Education,https://penkalvi.tn.gov.in,https://penkalvi.tn.gov.in,Pudhumai Penn Scheme (Moovalur Ramamirtham Ammiyar Higher Education) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://penkalvi.tn.gov.in. Published by Government of Tamil Nadu - Social Welfare & Higher Education.
TAMIL-PUDHALVAN,Tamil Pudhalvan Scheme,Government of Tamil Nadu - Social Welfare & Higher Education,https://tn.gov.in,https://tn.gov.in,Tamil Pudhalvan Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tn.gov.in. Published by Government of Tamil Nadu - Social Welfare & Higher Education.
CMCHIS,Chief Minister's Comprehensive Health Insurance Scheme (CMCHIS),Government of Tamil Nadu - Health and Family Welfare,https://cmchis.tn.gov.in,https://cmchis.tn.gov.in,Chief Minister's Comprehensive Health Insurance Scheme (CMCHIS) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://cmchis.tn.gov.in. Published by Government of Tamil Nadu - Health and Family Welfare.
CM-BREAKFAST,Chief Minister's Breakfast Scheme,Government of Tamil Nadu - Social Welfare,https://tn.gov.in,https://tn.gov.in,Chief Minister's Breakfast Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tn.gov.in. Published by Government of Tamil Nadu - Social Welfare.
NAAN-MUDHALVAN,Naan Mudhalvan Skill Development Scheme,Government of Tamil Nadu - Skill Development Corporation (TNSDC),https://www.naanmudhalvan.tn.gov.in,https://www.naanmudhalvan.tn.gov.in,Naan Mudhalvan Skill Development Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://www.naanmudhalvan.tn.gov.in. Published by Government of Tamil Nadu - Skill Development Corporation (TNSDC).
MAKKALAI-THEDI,Makkalai Thedi Maruthuvam (Healthcare at Doorsteps),Government of Tamil Nadu - Health and Family Welfare,https://tn.gov.in,https://tn.gov.in,Makkalai Thedi Maruthuvam (Healthcare at Doorsteps) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tn.gov.in. Published by Government of Tamil Nadu - Health and Family Welfare.
INNUYIR-KAPPON,Innuyir Kappon - Nammai Kakkum 48 Emergency Care,Government of Tamil Nadu - Health and Family Welfare,https://cmchis.tn.gov.in,https://cmchis.tn.gov.in,Innuyir Kappon - Nammai Kakkum 48 Emergency Care - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://cmchis.tn.gov.in. Published by Government of Tamil Nadu - Health and Family Welfare.
MUTHULAKSHMI-REDDY,Dr. Muthulakshmi Reddy Maternity Benefit Scheme,Government of Tamil Nadu - Health and Family Welfare,https://picme.tn.gov.in,https://picme.tn.gov.in,Dr. Muthulakshmi Reddy Maternity Benefit Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://picme.tn.gov.in. Published by Government of Tamil Nadu - Health and Family Welfare.
TN-GREEN-HOUSE,Chief Minister's Solar Powered Green House Scheme (CMSPGHS),Government of Tamil Nadu - Rural Development & Panchayat Raj,https://tnrd.tn.gov.in,https://tnrd.tn.gov.in,Chief Minister's Solar Powered Green House Scheme (CMSPGHS) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tnrd.tn.gov.in. Published by Government of Tamil Nadu - Rural Development & Panchayat Raj.
TN-UZHAVAR-PADHUKAPPU,Chief Minister's Farmers Security Scheme (Uzhavar Padhukappu Thittam),Government of Tamil Nadu - Revenue & Disaster Management,https://tn.gov.in,https://tn.gov.in,Chief Minister's Farmers Security Scheme (Uzhavar Padhukappu Thittam) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tn.gov.in. Published by Government of Tamil Nadu - Revenue & Disaster Management.
TN-DISABLED-PENSION,TN Differently Abled Maintenance Allowance Scheme,Government of Tamil Nadu - Welfare of Differently Abled Persons,https://www.scd.tn.gov.in,https://www.scd.tn.gov.in,TN Differently Abled Maintenance Allowance Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://www.scd.tn.gov.in. Published by Government of Tamil Nadu - Welfare of Differently Abled Persons.
UYEGP,TN Unemployed Youth Employment Generation Programme (UYEGP),"Government of Tamil Nadu - Micro, Small and Medium Enterprises (MSME)",https://msmeonline.tn.gov.in,https://msmeonline.tn.gov.in,TN Unemployed Youth Employment Generation Programme (UYEGP) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,"Verified directly against official domain https://msmeonline.tn.gov.in. Published by Government of Tamil Nadu - Micro, Small and Medium Enterprises (MSME)."
NEEDS,TN New Entrepreneur-cum-Enterprise Development Scheme (NEEDS),Government of Tamil Nadu - MSME Department,https://msmeonline.tn.gov.in,https://msmeonline.tn.gov.in,TN New Entrepreneur-cum-Enterprise Development Scheme (NEEDS) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://msmeonline.tn.gov.in. Published by Government of Tamil Nadu - MSME Department.
AABCS,TN Annal Ambedkar Business Champions Scheme (AABCS),Government of Tamil Nadu - MSME Department,https://msmeonline.tn.gov.in,https://msmeonline.tn.gov.in,TN Annal Ambedkar Business Champions Scheme (AABCS) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://msmeonline.tn.gov.in. Published by Government of Tamil Nadu - MSME Department.
MOOVALUR-MARRIAGE,Moovalur Ramamirtham Ammiyar Marriage Assistance Scheme,Government of Tamil Nadu - Social Welfare and Women Empowerment,https://tnsocialwelfare.tn.gov.in,https://tnsocialwelfare.tn.gov.in,Moovalur Ramamirtham Ammiyar Marriage Assistance Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tnsocialwelfare.tn.gov.in. Published by Government of Tamil Nadu - Social Welfare and Women Empowerment.
DHARMAMBAL-REMARRIAGE,Dr. Dharmambal Ammaiyar Widow Remarriage Scheme,Government of Tamil Nadu - Social Welfare,https://tnsocialwelfare.tn.gov.in,https://tnsocialwelfare.tn.gov.in,Dr. Dharmambal Ammaiyar Widow Remarriage Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tnsocialwelfare.tn.gov.in. Published by Government of Tamil Nadu - Social Welfare.
LADLI-BEHNA,Mukhyamantri Ladli Behna Yojana (Madhya Pradesh),Government of Madhya Pradesh - Women and Child Development,https://cmladlibehna.mp.gov.in,https://cmladlibehna.mp.gov.in,Mukhyamantri Ladli Behna Yojana (Madhya Pradesh) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://cmladlibehna.mp.gov.in. Published by Government of Madhya Pradesh - Women and Child Development.
GRUHA-LAKSHMI-KA,Gruha Lakshmi Scheme (Karnataka),Government of Karnataka - Women and Child Development,https://sevasindhugs.karnataka.gov.in,https://sevasindhugs.karnataka.gov.in,Gruha Lakshmi Scheme (Karnataka) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://sevasindhugs.karnataka.gov.in. Published by Government of Karnataka - Women and Child Development.
YUVA-NIDHI-KA,Yuva Nidhi Unemployment Allowance Scheme (Karnataka),Government of Karnataka - Skill Development Corporation,https://sevasindhugs.karnataka.gov.in,https://sevasindhugs.karnataka.gov.in,Yuva Nidhi Unemployment Allowance Scheme (Karnataka) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://sevasindhugs.karnataka.gov.in. Published by Government of Karnataka - Skill Development Corporation.
KANYASHREE-WB,Kanyashree Prakalpa (West Bengal),Government of West Bengal - Women & Child Development,https://wbkanyashree.gov.in,https://wbkanyashree.gov.in,Kanyashree Prakalpa (West Bengal) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://wbkanyashree.gov.in. Published by Government of West Bengal - Women & Child Development.
LAKSHMIR-BHANDAR,Lakshmir Bhandar Scheme (West Bengal),Government of West Bengal - Women and Child Development,https://socialsecurity.wb.gov.in,https://socialsecurity.wb.gov.in,Lakshmir Bhandar Scheme (West Bengal) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://socialsecurity.wb.gov.in. Published by Government of West Bengal - Women and Child Development.
SUBHADRA-ODISHA,Subhadra Yojana (Odisha),Government of Odisha - Women and Child Development,https://subhadra.odisha.gov.in,https://subhadra.odisha.gov.in,Subhadra Yojana (Odisha) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://subhadra.odisha.gov.in. Published by Government of Odisha - Women and Child Development.
KALIA-ODISHA,KALIA Scheme for Farmers (Odisha),Government of Odisha - Agriculture & Farmers Empowerment,https://kalia.odisha.gov.in,https://kalia.odisha.gov.in,KALIA Scheme for Farmers (Odisha) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://kalia.odisha.gov.in. Published by Government of Odisha - Agriculture & Farmers Empowerment.
KANYA-SUMANGALA-UP,Mukhya Mantri Kanya Sumangala Yojana (Uttar Pradesh),Government of Uttar Pradesh - Women and Child Development,https://mksy.up.gov.in,https://mksy.up.gov.in,Mukhya Mantri Kanya Sumangala Yojana (Uttar Pradesh) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://mksy.up.gov.in. Published by Government of Uttar Pradesh - Women and Child Development.
STUDENT-CREDIT-BIHAR,Bihar Student Credit Card Scheme (MNSSBY),Government of Bihar - Education Department,https://www.7nishchay-yuvaupmission.bihar.gov.in,https://www.7nishchay-yuvaupmission.bihar.gov.in,Bihar Student Credit Card Scheme (MNSSBY) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://www.7nishchay-yuvaupmission.bihar.gov.in. Published by Government of Bihar - Education Department.
MYSY-GUJARAT,Mukhyamantri Yuva Swavalamban Yojana (MYSY Gujarat),Government of Gujarat - Education Department,https://mysy.guj.nic.in,https://mysy.guj.nic.in,Mukhyamantri Yuva Swavalamban Yojana (MYSY Gujarat) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://mysy.guj.nic.in. Published by Government of Gujarat - Education Department.
PM-JANMAN,PM Janjati Adivasi Nyaya Maha Abhiyan (PM-JANMAN),Ministry of Tribal Affairs,https://tribal.gov.in,https://tribal.gov.in,PM Janjati Adivasi Nyaya Maha Abhiyan (PM-JANMAN) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tribal.gov.in. Published by Ministry of Tribal Affairs.
NAPS,National Apprenticeship Promotion Scheme (NAPS),Ministry of Skill Development and Entrepreneurship,https://www.apprenticeshipindia.gov.in,https://www.apprenticeshipindia.gov.in,National Apprenticeship Promotion Scheme (NAPS) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://www.apprenticeshipindia.gov.in. Published by Ministry of Skill Development and Entrepreneurship.
CGTMSE,Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),"Ministry of Micro, Small and Medium Enterprises / SIDBI",https://www.cgtmse.in,https://www.cgtmse.in,Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE) - Official Government Portal / Guidelines,OFFICIAL_GOVT_WEBSITE,2026-09-20,"Verified directly against official domain https://www.cgtmse.in. Published by Ministry of Micro, Small and Medium Enterprises / SIDBI."
PM-DIALYSIS,Pradhan Mantri National Dialysis Programme (PMNDP),Ministry of Health and Family Welfare,https://nhm.gov.in,https://nhm.gov.in,Pradhan Mantri National Dialysis Programme (PMNDP) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://nhm.gov.in. Published by Ministry of Health and Family Welfare.
DAY-NRLM,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM),Ministry of Rural Development,https://nrlm.gov.in,https://nrlm.gov.in,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://nrlm.gov.in. Published by Ministry of Rural Development.
SVAMITVA,PM SVAMITVA Scheme (Property Cards for Rural Abadi),Ministry of Panchayati Raj,https://svamitva.nic.in,https://svamitva.nic.in,PM SVAMITVA Scheme (Property Cards for Rural Abadi) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://svamitva.nic.in. Published by Ministry of Panchayati Raj.
PRAGATI-SCHOLARSHIP,AICTE Pragati Scholarship Scheme for Girl Students,Ministry of Education / AICTE,https://scholarships.gov.in,https://scholarships.gov.in,AICTE Pragati Scholarship Scheme for Girl Students - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://scholarships.gov.in. Published by Ministry of Education / AICTE.
SAKSHAM-SCHOLARSHIP,AICTE Saksham Scholarship Scheme for Differently Abled Students,Ministry of Education / AICTE,https://scholarships.gov.in,https://scholarships.gov.in,AICTE Saksham Scholarship Scheme for Differently Abled Students - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://scholarships.gov.in. Published by Ministry of Education / AICTE.
TN-GIRL-CHILD-PROTECTION,Chief Minister's Girl Child Protection Scheme (Tamil Nadu),Government of Tamil Nadu - Social Welfare & Women Empowerment,https://tnsocialwelfare.tn.gov.in,https://tnsocialwelfare.tn.gov.in,Chief Minister's Girl Child Protection Scheme (Tamil Nadu) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tnsocialwelfare.tn.gov.in. Published by Government of Tamil Nadu - Social Welfare & Women Empowerment.
TN-TRANSGENDER-BOARD,TN Transgender Welfare Board Assistance Scheme,Government of Tamil Nadu - Social Welfare and Women Empowerment,https://tnsocialwelfare.tn.gov.in,https://tnsocialwelfare.tn.gov.in,TN Transgender Welfare Board Assistance Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tnsocialwelfare.tn.gov.in. Published by Government of Tamil Nadu - Social Welfare and Women Empowerment.
TN-SEWING-MACHINE,TN Free Supply of Sewing Machines Scheme for Destitute Women,Government of Tamil Nadu - Social Welfare and Women Empowerment,https://tnsocialwelfare.tn.gov.in,https://tnsocialwelfare.tn.gov.in,TN Free Supply of Sewing Machines Scheme for Destitute Women - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://tnsocialwelfare.tn.gov.in. Published by Government of Tamil Nadu - Social Welfare and Women Empowerment.
TN-FREE-AGRI-POWER,TN Free Electricity Scheme for Agriculture (24x7 Power),Government of Tamil Nadu - Energy / TANGEDCO,https://www.tangedco.gov.in,https://www.tangedco.gov.in,TN Free Electricity Scheme for Agriculture (24x7 Power) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://www.tangedco.gov.in. Published by Government of Tamil Nadu - Energy / TANGEDCO.
ANNA-BHAGYA-KA,Anna Bhagya Scheme (Karnataka),Government of Karnataka - Food & Civil Supplies,https://food.karnataka.gov.in,https://food.karnataka.gov.in,Anna Bhagya Scheme (Karnataka) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://food.karnataka.gov.in. Published by Government of Karnataka - Food & Civil Supplies.
SHAKTHI-FREE-BUS-KA,Shakthi Free Bus Travel Scheme for Women (Karnataka),Government of Karnataka - Transport Department,https://ksrtc.karnataka.gov.in,https://ksrtc.karnataka.gov.in,Shakthi Free Bus Travel Scheme for Women (Karnataka) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://ksrtc.karnataka.gov.in. Published by Government of Karnataka - Transport Department.
